Nome: JOAO PESSOA
Codigo Estacao: A320
Latitude: -7.165409
Longitude: -34.815627
Altitude: 33.5
Situacao: Operante
Data Inicial: 2009-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2009-01-15;0700;-3,54;
2009-01-15;0800;-3,54;
2009-01-15;0900;28,893;
2009-01-15;1000;432,614;
2009-01-15;1100;1523,389;
2009-01-15;1200;1965,744;
2009-01-15;1300;2827,35;
2009-01-15;1400;3333,071;
2009-01-15;1500;3468,248;
2009-01-15;1600;3198,001;
2009-01-15;1700;3215,994;
2009-01-15;1800;2475,84;
2009-01-15;1900;1436,329;
2009-01-15;2000;911,094;
2009-01-15;2100;198,464;
2009-01-15;2200;-1,714;
2009-01-15;2300;-3,535;
2009-01-16;0000;-3,538;
2009-01-16;0100;-3,301;
2009-01-16;0200;-1,476;
2009-01-16;0300;-2,853;
2009-01-16;0400;-3,288;
2009-01-16;0500;-3,5;
2009-01-16;0600;-2,715;
2009-01-16;0700;-3,231;
2009-01-16;0800;-2,769;
2009-01-16;0900;12,196;
2009-01-16;1000;264,925;
2009-01-16;1100;941,793;
2009-01-16;1200;1162,024;
2009-01-16;1300;1629,525;
2009-01-16;1400;1923,502;
2009-01-16;1500;1936,1;
2009-01-16;1600;1070,907;
2009-01-16;1700;704,35;
2009-01-16;1800;356,239;
2009-01-16;1900;172,994;
2009-01-16;2000;18,286;
2009-01-16;2100;10,882;
2009-01-16;2200;-2,72;
2009-01-16;2300;-2,5;
2009-01-17;0000;-1,725;
2009-01-17;0100;-2,842;
2009-01-17;0200;-2,227;
2009-01-17;0300;-2,94;
2009-01-17;0400;-2,753;
2009-01-17;0500;-3,001;
2009-01-17;0600;-1,894;
2009-01-17;0700;-2,096;
2009-01-17;0800;-2,597;
2009-01-17;0900;30,215;
2009-01-17;1000;398,985;
2009-01-17;1100;977,635;
2009-01-17;1200;1984,603;
2009-01-17;1300;2877,986;
2009-01-17;1400;2351,066;
2009-01-17;1500;2283,605;
2009-01-17;1600;3114,453;
2009-01-17;1700;2825,165;
2009-01-17;1800;2300,647;
2009-01-17;1900;1309,869;
2009-01-17;2000;742,209;
2009-01-17;2100;207,774;
2009-01-17;2200;-2,375;
2009-01-17;2300;-3,538;
2009-01-18;0000;-3,417;
2009-01-18;0100;-3,473;
2009-01-18;0200;-3,484;
2009-01-18;0300;-3,397;
2009-01-18;0400;-3,346;
2009-01-18;0500;-3,54;
2009-01-18;0600;-3,54;
2009-01-18;0700;-3,264;
2009-01-18;0800;-3,54;
2009-01-18;0900;31,129;
2009-01-18;1000;388,879;
2009-01-18;1100;1291,303;
2009-01-18;1200;2330,501;
2009-01-18;1300;2742,509;
2009-01-18;1400;3238,803;
2009-01-18;1500;3579,817;
2009-01-18;1600;3697,6;
2009-01-18;1700;3376,376;
2009-01-18;1800;2759,889;
2009-01-18;1900;1844,541;
2009-01-18;2000;1072,313;
2009-01-18;2100;238,035;
2009-01-18;2200;-1,837;
2009-01-18;2300;-3,54;
2009-01-19;0000;-3,54;
2009-01-19;0100;-3,54;
2009-01-19;0200;-3,54;
2009-01-19;0300;-3,54;
2009-01-19;0400;-3,54;
2009-01-19;0500;-3,54;
2009-01-19;0600;-3,54;
2009-01-19;0700;-3,54;
2009-01-19;0800;-3,54;
2009-01-19;0900;30,162;
2009-01-19;1000;458,149;
2009-01-19;1100;1207,7;
2009-01-19;1200;1869,153;
2009-01-19;1300;2438,495;
2009-01-19;1400;2993,271;
2009-01-19;1500;3404,038;
2009-01-19;1600;3207,897;
2009-01-19;1700;3029,057;
2009-01-19;1800;2182,85;
2009-01-19;1900;1942,912;
2009-01-19;2000;903,255;
2009-01-19;2100;203,551;
2009-01-19;2200;-2,937;
2009-01-19;2300;-3,54;
2009-01-20;0000;-3,532;
2009-01-20;0100;-3,54;
2009-01-20;0200;-3,528;
2009-01-20;0300;-3,54;
2009-01-20;0400;-3,54;
2009-01-20;0500;-3,375;
2009-01-20;0600;-2,451;
2009-01-20;0700;-2,592;
2009-01-20;0800;-3,012;
2009-01-20;0900;20,565;
2009-01-20;1000;459,118;
2009-01-20;1100;1092,561;
2009-01-20;1200;1404,354;
2009-01-20;1300;2475,233;
2009-01-20;1400;2659,399;
2009-01-20;1500;2270,224;
2009-01-20;1600;2471,966;
2009-01-20;1700;2464,713;
2009-01-20;1800;2512,568;
2009-01-20;1900;1899,214;
2009-01-20;2000;824,006;
2009-01-20;2100;189,912;
2009-01-20;2200;-3,187;
2009-01-20;2300;-3,54;
2009-01-21;0000;-3,54;
2009-01-21;0100;-3,396;
2009-01-21;0200;-3,535;
2009-01-21;0300;-3,308;
2009-01-21;0400;-2,71;
2009-01-21;0500;-3,293;
2009-01-21;0600;-3,384;
2009-01-21;0700;-2,977;
2009-01-21;0800;-3,524;
2009-01-21;0900;19,51;
2009-01-21;1000;95,592;
2009-01-21;1100;249,241;
2009-01-21;1200;1734,224;
2009-01-21;1300;2097,688;
2009-01-21;1400;2207,227;
2009-01-21;1500;2857,683;
2009-01-21;1600;1215,356;
2009-01-21;1700;1463,518;
2009-01-21;1800;1849,133;
2009-01-21;1900;1383,341;
2009-01-21;2000;566,44;
2009-01-21;2100;119,972;
2009-01-21;2200;-3,331;
2009-01-21;2300;-3,38;
2009-01-22;0000;-3,422;
2009-01-22;0100;-3,447;
